age,gender,student_status,university,satisfaction_rating,learning_style,preferred_population,school,plans_further_education,career_goal,cost_importance,culture_importance,internship_importance,ranking_influence,extracurricular_importance,family_influence,friend_influence,social_media_influence,scholarship_significance,has_scholarship,funding_source,financial_consideration,residence,personality,leadership_role,extracurricular_hours,extracurricular_type,cca_count,engagement_level,engagement_category,internship_participation,external_influence,selection_criteria_list,cca_list,satisfaction_group
18 - 24,Male,International,NUS,4,Theoretical,Large,Sciences,1.0,Product Manager,7,8,9,9,6,7,6,4,8,1,Family,7.5,On campus,Introverted,1,17,Sports,4,5,Medium,0,5.666666666666667,"['Academic Reputation', 'Academic Reputation', 'Research Opportunities']","['Social Club', 'Professional Club', 'Sports Club', 'Sports Club']",Satisfied
18 - 24,Female,Domestic,NUS,4,Hands-on/Practical,Large,Computing,0.0,Consultant,7,8,8,8,7,6,5,4,7,0,Loan,7.0,Commute,Extroverted,0,13,Academic,1,1,Low,1,5.0,"['International Exposure', 'Academic Reputation', 'Research Opportunities']",['Professional Club'],Satisfied
18 - 24,Female,International,NUS,4,Visual,Large,Computing,1.0,Software Engineer,7,7,8,8,6,7,5,4,8,0,Family,7.5,Commute,Extroverted,0,16,Professional,3,3,Medium,1,5.333333333333333,"['Global Recognition', 'Academic Reputation', 'Faculty Quality']","['Research Group', 'Research Group', 'Social Club']",Satisfied
18 - 24,Female,Domestic,NUS,3,Visual,Large,Social Sciences,1.0,Software Engineer,6,7,7,8,7,6,6,5,8,1,Scholarship,7.0,On campus,Ambivert,0,17,Professional,1,2,Low,1,5.666666666666667,"['Industry Connections', 'Scholarship Opportunities', 'Career Services']",['Academic Society'],Neutral
18 - 24,Male,International,NUS,4,Visual,Large,Engineering,0.0,Researcher,7,8,8,8,7,7,6,4,8,0,Scholarship,7.5,Commute,Extroverted,0,14,Arts,2,2,Low,1,5.666666666666667,"['Global Recognition', 'Scholarship Opportunities', 'Global Recognition']","['Research Group', 'Sports Club']",Satisfied
18 - 24,Female,Domestic,NUS,4,Self-paced/Individual,Large,Sciences,0.5,Researcher,6,8,7,8,7,6,5,4,6,0,Loan,6.0,On campus,Introverted,0,15,Arts,3,3,Medium,1,5.0,"['Scholarship Opportunities', 'Academic Reputation', 'Research Opportunities']","['Research Group', 'Social Club', 'Academic Society']",Satisfied
Over 30,Female,International,NUS,4,Auditory,Large,Arts,0.0,Researcher,7,7,7,9,7,7,6,5,8,1,Loan,7.5,On campus,Introverted,1,12,Academic,3,4,Medium,1,6.0,"['Research Opportunities', 'Global Recognition', 'Industry Connections']","['Sports Club', 'Research Group', 'Research Group']",Satisfied
18 - 24,Male,Domestic,NUS,3,Visual,Large,Sciences,0.0,Data Scientist,7,8,7,8,7,7,5,5,8,1,Scholarship,7.5,Off campus,Extroverted,1,16,Community,2,4,Medium,1,5.666666666666667,"['Academic Reputation', 'Academic Reputation', 'Career Services']","['Research Group', 'Sports Club']",Neutral
25 - 30,Non-binary,Domestic,NUS,4,Visual,Large,Social Sciences,0.0,Product Manager,6,8,8,8,6,7,6,4,8,0,Scholarship,7.0,Off campus,Introverted,0,17,Academic,1,2,Low,1,5.666666666666667,"['Academic Reputation', 'Industry Connections', 'Research Opportunities']",['Academic Society'],Satisfied
25 - 30,Female,Domestic,NUS,4,Auditory,Large,Engineering,1.0,Software Engineer,6,8,8,9,6,6,4,4,8,0,Family,7.0,Off campus,Extroverted,0,14,Academic,3,2,Low,0,4.666666666666667,"['Global Recognition', 'Academic Reputation', 'Career Services']","['Research Group', 'Professional Club', 'Sports Club']",Satisfied
18 - 24,Female,Domestic,NUS,4,Auditory,Large,Computing,0.5,Researcher,6,7,7,7,8,6,6,4,8,0,Loan,7.0,Commute,Introverted,0,17,Sports,3,3,Medium,0,5.333333333333333,"['Academic Reputation', 'Career Services', 'Scholarship Opportunities']","['Research Group', 'Research Group', 'Academic Society']",Satisfied
Over 30,Female,Domestic,NUS,3,Visual,Large,Medicine,1.0,Data Scientist,7,7,8,8,7,6,6,4,8,1,Scholarship,7.5,Commute,Introverted,0,17,Academic,2,2,Low,1,5.333333333333333,"['Scholarship Opportunities', 'International Exposure', 'Research Opportunities']","['Academic Society', 'Cultural Club']",Neutral
18 - 24,Male,Domestic,NUS,4,Self-paced/Individual,Large,Sciences,0.0,Product Manager,7,8,7,9,7,6,5,5,7,0,Scholarship,7.0,Off campus,Introverted,1,18,Professional,3,5,Medium,1,5.333333333333333,"['Faculty Quality', 'Research Opportunities', 'Faculty Quality']","['Academic Society', 'Sports Club', 'Cultural Club']",Satisfied
25 - 30,Male,Domestic,NTU,4,Visual,Large,Computing,1.0,Data Scientist,7,6,7,7,7,7,6,4,6,1,Scholarship,6.5,Off campus,Extroverted,1,14,Sports,4,5,Medium,1,5.666666666666667,"['Industry Connections', 'Research Opportunities', 'Campus Facilities']","['Research Group', 'Social Club', 'Cultural Club', 'Sports Club']",Satisfied
25 - 30,Female,Domestic,NTU,4,Group-based,Large,Computing,1.0,Business Analyst,7,7,7,8,6,5,5,5,7,1,Family,7.0,On campus,Extroverted,0,12,Academic,4,3,Medium,1,5.0,"['Faculty Quality', 'Career Services', 'Faculty Quality']","['Sports Club', 'Sports Club', 'Research Group', 'Professional Club']",Satisfied
Under 18,Female,Domestic,NTU,3,Auditory,Large,Business,0.5,Product Manager,7,6,7,7,7,5,5,4,7,1,Scholarship,7.0,Commute,Ambivert,0,14,Professional,3,2,Low,1,4.666666666666667,"['Campus Facilities', 'Career Services', 'Location']","['Professional Club', 'Social Club', 'Professional Club']",Neutral
18 - 24,Male,International,NTU,3,Self-paced/Individual,Large,Computing,0.5,Business Analyst,6,7,8,8,6,7,5,4,6,1,Scholarship,6.0,Commute,Extroverted,1,13,Arts,3,4,Medium,1,5.333333333333333,"['Industry Connections', 'Research Opportunities', 'Research Opportunities']","['Sports Club', 'Academic Society', 'Professional Club']",Neutral
18 - 24,Male,Domestic,NTU,4,Self-paced/Individual,Large,Sciences,0.5,Software Engineer,7,6,7,7,7,5,5,4,6,0,Loan,6.5,Commute,Extroverted,0,14,Academic,2,2,Low,1,4.666666666666667,"['Location', 'Industry Connections', 'Faculty Quality']","['Academic Society', 'Professional Club']",Satisfied
18 - 24,Male,Domestic,NTU,3,Visual,Large,Computing,0.5,Software Engineer,7,6,7,7,6,6,6,5,7,0,Scholarship,7.0,Commute,Extroverted,0,13,Academic,2,2,Low,1,5.666666666666667,"['Location', 'Faculty Quality', 'Research Opportunities']","['Sports Club', 'Academic Society']",Neutral
25 - 30,Female,International,NTU,4,Theoretical,Large,Computing,1.0,Engineer,7,7,7,7,6,4,6,4,7,0,Scholarship,7.0,Off campus,Ambivert,1,15,Social,2,4,Medium,1,4.666666666666667,"['Industry Connections', 'International Exposure', 'Industry Connections']","['Sports Club', 'Sports Club']",Satisfied
18 - 24,Female,Domestic,NTU,4,Visual,Large,Computing,1.0,Software Engineer,6,6,8,7,7,6,5,5,7,0,Family,6.5,Commute,Ambivert,0,13,Professional,2,2,Low,1,5.333333333333333,"['International Exposure', 'Campus Facilities', 'Research Opportunities']","['Cultural Club', 'Professional Club']",Satisfied
18 - 24,Female,Domestic,NTU,3,Visual,Large,Computing,0.0,Data Scientist,7,6,7,7,7,5,6,5,6,1,Scholarship,6.5,Commute,Introverted,1,12,Academic,4,5,Medium,1,5.333333333333333,"['Location', 'Research Opportunities', 'Industry Connections']","['Sports Club', 'Professional Club', 'Academic Society', 'Academic Society']",Neutral
18 - 24,Female,International,NTU,4,Hands-on/Practical,Large,Engineering,1.0,Researcher,7,6,7,7,6,5,5,4,6,1,Family,6.5,Commute,Extroverted,0,12,Academic,1,1,Low,1,4.666666666666667,"['Location', 'Industry Connections', 'Research Opportunities']",['Academic Society'],Satisfied
18 - 24,Male,Domestic,NTU,4,Theoretical,Large,Engineering,0.0,Software Engineer,7,7,7,8,6,5,4,5,7,0,Family,7.0,Off campus,Ambivert,0,17,Sports,3,3,Medium,1,4.666666666666667,"['Campus Facilities', 'Academic Reputation', 'Campus Facilities']","['Sports Club', 'Professional Club', 'Academic Society']",Satisfied
18 - 24,Male,Domestic,NTU,4,Theoretical,Large,Sciences,0.5,Product Manager,7,6,8,8,7,5,5,4,6,1,Scholarship,6.5,Commute,Introverted,0,15,Professional,2,2,Low,1,4.666666666666667,"['Career Services', 'Academic Reputation', 'Academic Reputation']","['Research Group', 'Cultural Club']",Satisfied
18 - 24,Female,Domestic,NTU,4,Hands-on/Practical,Large,Sciences,0.5,Product Manager,7,7,7,8,7,5,6,6,7,0,Family,7.0,Off campus,Introverted,0,9,Professional,4,2,Low,0,5.666666666666667,"['Faculty Quality', 'Academic Reputation', 'Faculty Quality']","['Sports Club', 'Cultural Club', 'Sports Club', 'Academic Society']",Satisfied
18 - 24,Female,Domestic,NTU,3,Self-paced/Individual,Large,Business,1.0,Researcher,6,6,7,8,6,6,5,4,6,0,Self-funded,6.0,On campus,Introverted,1,15,Sports,2,4,Medium,1,5.0,"['Campus Facilities', 'Research Opportunities', 'Campus Facilities']","['Cultural Club', 'Academic Society']",Neutral
18 - 24,Male,International,NTU,4,Self-paced/Individual,Large,Sciences,1.0,Engineer,7,6,7,8,6,5,5,5,6,0,Loan,6.5,Off campus,Introverted,1,13,Academic,3,4,Medium,1,5.0,"['Faculty Quality', 'International Exposure', 'Career Services']","['Professional Club', 'Academic Society', 'Professional Club']",Satisfied
18 - 24,Male,International,NTU,4,Theoretical,Large,Engineering,0.5,Software Engineer,7,7,7,7,7,6,6,4,6,0,Family,6.5,On campus,Ambivert,1,17,Academic,3,5,Medium,0,5.333333333333333,"['Research Opportunities', 'International Exposure', 'International Exposure']","['Sports Club', 'Sports Club', 'Cultural Club']",Satisfied
18 - 24,Female,International,NTU,3,Theoretical,Large,Business,0.5,Business Analyst,6,7,7,7,6,5,6,4,6,0,Family,6.0,On campus,Ambivert,0,16,Sports,2,2,Low,1,5.0,"['Industry Connections', 'Faculty Quality', 'International Exposure']","['Academic Society', 'Sports Club']",Neutral
18 - 24,Male,Domestic,NTU,3,Auditory,Large,Business,1.0,Researcher,6,6,8,7,7,5,5,5,6,0,Self-funded,6.0,Commute,Ambivert,1,12,Sports,3,4,Medium,1,5.0,"['Industry Connections', 'Research Opportunities', 'Research Opportunities']","['Professional Club', 'Social Club', 'Professional Club']",Neutral
18 - 24,Male,Domestic,NTU,3,Group-based,Large,Computing,1.0,Researcher,7,6,9,8,7,5,5,4,6,0,Family,6.5,Off campus,Extroverted,0,12,Arts,4,3,Medium,1,4.666666666666667,"['Academic Reputation', 'Academic Reputation', 'Career Services']","['Cultural Club', 'Social Club', 'Cultural Club', 'Research Group']",Neutral
18 - 24,Female,Domestic,NTU,4,Hands-on/Practical,Large,Sciences,0.5,Researcher,6,6,8,7,6,6,5,5,8,0,Loan,7.0,Off campus,Introverted,0,13,Community,3,2,Low,1,5.333333333333333,"['Career Services', 'Research Opportunities', 'Industry Connections']","['Academic Society', 'Academic Society', 'Social Club']",Satisfied
18 - 24,Male,Domestic,NTU,3,Theoretical,Large,Engineering,1.0,Engineer,6,6,8,8,5,6,5,5,7,0,Family,6.5,On campus,Introverted,1,13,Professional,4,5,Medium,0,5.333333333333333,"['Career Services', 'International Exposure', 'Career Services']","['Sports Club', 'Academic Society', 'Professional Club', 'Sports Club']",Neutral
18 - 24,Male,Domestic,NTU,4,Theoretical,Large,Business,0.5,Data Scientist,7,7,8,7,7,5,6,3,7,0,Scholarship,7.0,On campus,Extroverted,1,13,Professional,1,3,Medium,1,4.666666666666667,"['Career Services', 'Faculty Quality', 'Campus Facilities']",['Research Group'],Satisfied
18 - 24,Male,Domestic,NTU,3,Hands-on/Practical,Large,Business,1.0,Data Scientist,7,7,8,7,6,5,5,5,7,0,Scholarship,7.0,Commute,Extroverted,1,14,Sports,2,4,Medium,1,5.0,"['International Exposure', 'Industry Connections', 'Campus Facilities']","['Professional Club', 'Sports Club']",Neutral
25 - 30,Male,International,NTU,4,Hands-on/Practical,Large,Business,0.0,Engineer,7,6,7,7,7,6,6,5,6,1,Family,6.5,Commute,Ambivert,0,14,Professional,3,2,Low,0,5.666666666666667,"['Location', 'Location', 'Faculty Quality']","['Cultural Club', 'Professional Club', 'Professional Club']",Satisfied
18 - 24,Female,Domestic,NTU,4,Hands-on/Practical,Large,Arts,1.0,Engineer,6,6,8,7,7,6,5,5,7,0,Family,6.5,Off campus,Ambivert,1,15,Sports,2,4,Medium,1,5.333333333333333,"['Campus Facilities', 'Faculty Quality', 'Academic Reputation']","['Research Group', 'Professional Club']",Satisfied
18 - 24,Male,Domestic,NTU,3,Group-based,Large,Business,0.5,Researcher,6,6,8,7,7,5,5,4,6,1,Self-funded,6.0,Commute,Extroverted,0,11,Community,3,2,Low,1,4.666666666666667,"['Faculty Quality', 'Career Services', 'Campus Facilities']","['Research Group', 'Academic Society', 'Academic Society']",Neutral
18 - 24,Male,Domestic,NTU,4,Hands-on/Practical,Large,Computing,0.0,Engineer,7,6,8,7,6,6,6,5,6,0,Loan,6.5,On campus,Introverted,0,14,Professional,1,1,Low,1,5.666666666666667,"['Research Opportunities', 'Campus Facilities', 'Academic Reputation']",['Academic Society'],Satisfied
18 - 24,Female,International,NTU,4,Group-based,Large,Engineering,0.5,Product Manager,7,6,7,7,6,6,5,6,7,0,Family,7.0,On campus,Extroverted,0,11,Sports,3,2,Low,0,5.666666666666667,"['Industry Connections', 'Research Opportunities', 'Career Services']","['Professional Club', 'Academic Society', 'Social Club']",Satisfied
18 - 24,Male,Domestic,NTU,4,Self-paced/Individual,Large,Engineering,1.0,Data Scientist,7,6,8,8,7,6,6,5,7,0,Family,7.0,On campus,Ambivert,0,11,Sports,3,2,Low,1,5.666666666666667,"['Career Services', 'Academic Reputation', 'Research Opportunities']","['Research Group', 'Academic Society', 'Professional Club']",Satisfied
18 - 24,Female,International,NTU,4,Visual,Large,Computing,1.0,Data Scientist,6,6,7,8,7,6,4,5,7,0,Scholarship,6.5,Commute,Introverted,0,13,Social,3,2,Low,1,5.0,"['Industry Connections', 'International Exposure', 'Industry Connections']","['Academic Society', 'Academic Society', 'Sports Club']",Satisfied
18 - 24,Female,International,NTU,4,Visual,Large,Business,0.5,Engineer,7,5,8,8,6,5,6,4,7,1,Family,7.0,On campus,Ambivert,0,12,Sports,2,2,Low,0,5.0,"['Career Services', 'Academic Reputation', 'Campus Facilities']","['Cultural Club', 'Academic Society']",Satisfied
25 - 30,Male,Domestic,NTU,4,Self-paced/Individual,Large,Engineering,0.5,Product Manager,7,6,6,8,6,5,5,4,6,0,Loan,6.5,On campus,Ambivert,0,14,Academic,2,2,Low,1,4.666666666666667,"['Career Services', 'Location', 'Research Opportunities']","['Social Club', 'Academic Society']",Satisfied
18 - 24,Male,Domestic,NTU,3,Self-paced/Individual,Large,Sciences,1.0,Data Scientist,6,7,7,8,7,6,6,4,6,0,Self-funded,6.0,Off campus,Extroverted,0,16,Arts,4,3,Medium,0,5.333333333333333,"['Career Services', 'Campus Facilities', 'Location']","['Academic Society', 'Sports Club', 'Sports Club', 'Professional Club']",Neutral
18 - 24,Female,International,NTU,3,Hands-on/Practical,Large,Engineering,1.0,Data Scientist,7,6,9,7,7,6,6,5,6,0,Self-funded,6.5,On campus,Introverted,1,15,Sports,2,4,Medium,1,5.666666666666667,"['Research Opportunities', 'Research Opportunities', 'Campus Facilities']","['Social Club', 'Cultural Club']",Neutral
Under 18,Female,Domestic,NTU,3,Auditory,Large,Arts,0.5,Engineer,7,6,8,7,6,5,6,4,7,0,Family,7.0,On campus,Ambivert,0,16,Academic,3,3,Medium,0,5.0,"['Career Services', 'Academic Reputation', 'International Exposure']","['Sports Club', 'Academic Society', 'Social Club']",Neutral
18 - 24,Male,International,NTU,3,Auditory,Large,Sciences,0.5,Engineer,7,7,8,7,6,5,5,5,5,0,Scholarship,6.0,Commute,Introverted,1,13,Sports,3,4,Medium,1,5.0,"['Campus Facilities', 'Industry Connections', 'Academic Reputation']","['Professional Club', 'Social Club', 'Professional Club']",Neutral
Over 30,Male,Domestic,NTU,4,Theoretical,Large,Computing,0.5,Data Scientist,7,6,7,7,6,5,6,3,7,0,Scholarship,7.0,On campus,Ambivert,0,16,Community,3,3,Medium,0,4.666666666666667,"['Career Services', 'Research Opportunities', 'Academic Reputation']","['Professional Club', 'Cultural Club', 'Sports Club']",Satisfied
18 - 24,Female,Domestic,NTU,3,Theoretical,Large,Engineering,1.0,Engineer,6,6,8,8,5,6,5,5,6,1,Loan,6.0,Commute,Extroverted,0,15,Community,4,3,Medium,1,5.333333333333333,"['Industry Connections', 'Campus Facilities', 'International Exposure']","['Academic Society', 'Professional Club', 'Cultural Club', 'Cultural Club']",Neutral
18 - 24,Female,International,NTU,4,Auditory,Large,Engineering,1.0,Data Scientist,7,6,7,8,6,5,6,4,6,0,Scholarship,6.5,On campus,Extroverted,0,15,Community,3,3,Medium,1,5.0,"['Academic Reputation', 'International Exposure', 'Career Services']","['Research Group', 'Sports Club', 'Social Club']",Satisfied
18 - 24,Female,Domestic,NTU,4,Auditory,Large,Engineering,1.0,Engineer,6,7,8,7,7,5,6,4,7,0,Family,6.5,On campus,Extroverted,1,13,Arts,3,4,Medium,1,5.0,"['Industry Connections', 'Industry Connections', 'Industry Connections']","['Social Club', 'Professional Club', 'Cultural Club']",Satisfied
18 - 24,Female,Domestic,NTU,4,Visual,Large,Engineering,0.0,Engineer,7,6,8,8,6,6,6,4,6,1,Loan,6.5,On campus,Ambivert,0,13,Social,4,3,Medium,1,5.333333333333333,"['Location', 'Industry Connections', 'Location']","['Sports Club', 'Professional Club', 'Research Group', 'Social Club']",Satisfied
18 - 24,Female,Domestic,NTU,3,Theoretical,Large,Business,1.0,Researcher,6,6,7,8,6,6,5,5,7,0,Family,6.5,Off campus,Ambivert,0,11,Sports,2,2,Low,0,5.333333333333333,"['International Exposure', 'International Exposure', 'Campus Facilities']","['Academic Society', 'Sports Club']",Neutral
18 - 24,Male,Domestic,NTU,4,Hands-on/Practical,Large,Arts,1.0,Product Manager,6,7,7,8,7,6,5,5,6,0,Scholarship,6.0,Commute,Ambivert,1,14,Community,2,4,Medium,1,5.333333333333333,"['Academic Reputation', 'Research Opportunities', 'Industry Connections']","['Cultural Club', 'Academic Society']",Satisfied
Under 18,Male,Domestic,NTU,3,Hands-on/Practical,Large,Business,1.0,Engineer,6,7,7,6,6,6,5,4,7,1,Scholarship,6.5,On campus,Ambivert,0,17,Professional,3,3,Medium,1,5.0,"['Campus Facilities', 'Location', 'Industry Connections']","['Academic Society', 'Research Group', 'Academic Society']",Neutral
18 - 24,Male,International,NTU,4,Theoretical,Large,Business,1.0,Business Analyst,6,7,8,8,7,5,6,4,5,1,Loan,5.5,On campus,Ambivert,0,12,Professional,2,2,Low,1,5.0,"['Industry Connections', 'Academic Reputation', 'Location']","['Sports Club', 'Professional Club']",Satisfied
18 - 24,Female,Domestic,NTU,4,Theoretical,Large,Engineering,0.5,Business Analyst,7,6,8,7,7,5,5,4,7,0,Family,7.0,On campus,Introverted,0,15,Arts,2,2,Low,1,4.666666666666667,"['Career Services', 'Career Services', 'Academic Reputation']","['Cultural Club', 'Professional Club']",Satisfied
18 - 24,Female,International,NTU,4,Hands-on/Practical,Large,Sciences,1.0,Data Scientist,7,7,7,8,7,6,6,5,7,0,Family,7.0,Off campus,Introverted,0,17,Professional,5,4,Medium,1,5.666666666666667,"['Academic Reputation', 'Campus Facilities', 'Academic Reputation']","['Professional Club', 'Academic Society', 'Sports Club', 'Professional Club', 'Research Group']",Satisfied
Over 30,Female,International,NTU,4,Theoretical,Large,Sciences,0.5,Data Scientist,6,6,7,8,5,6,6,5,6,1,Family,6.0,Commute,Introverted,1,14,Sports,1,3,Medium,1,5.666666666666667,"['Location', 'Location', 'International Exposure']",['Social Club'],Satisfied
18 - 24,Female,Domestic,NTU,3,Theoretical,Large,Engineering,1.0,Software Engineer,7,7,7,7,7,5,5,6,6,0,Scholarship,6.5,Off campus,Introverted,1,12,Arts,1,3,Medium,0,5.333333333333333,"['Faculty Quality', 'Faculty Quality', 'Research Opportunities']",['Academic Society'],Neutral
18 - 24,Male,International,NTU,4,Self-paced/Individual,Large,Social Sciences,1.0,Software Engineer,7,7,8,7,6,5,6,5,7,0,Family,7.0,On campus,Introverted,0,15,Arts,2,2,Low,1,5.333333333333333,"['Academic Reputation', 'Campus Facilities', 'Location']","['Research Group', 'Social Club']",Satisfied
Over 30,Male,Domestic,NTU,3,Group-based,Large,Engineering,1.0,Researcher,7,6,8,7,7,6,6,4,6,1,Family,6.5,Commute,Introverted,0,14,Sports,3,2,Low,1,5.333333333333333,"['Career Services', 'Academic Reputation', 'Research Opportunities']","['Sports Club', 'Professional Club', 'Cultural Club']",Neutral
25 - 30,Female,Domestic,NTU,4,Auditory,Large,Sciences,1.0,Business Analyst,6,7,8,7,8,5,5,5,7,1,Family,6.5,Off campus,Introverted,1,15,Professional,1,4,Medium,1,5.0,"['Campus Facilities', 'Faculty Quality', 'Campus Facilities']",['Professional Club'],Satisfied
18 - 24,Male,International,NTU,4,Theoretical,Large,Engineering,1.0,Product Manager,7,6,8,8,6,6,6,4,6,0,Loan,6.5,On campus,Extroverted,1,11,Community,2,4,Medium,0,5.333333333333333,"['Faculty Quality', 'Campus Facilities', 'Career Services']","['Professional Club', 'Research Group']",Satisfied
Over 30,Female,Domestic,NTU,3,Self-paced/Individual,Large,Business,1.0,Product Manager,7,7,7,7,7,6,6,4,5,0,Loan,6.0,Commute,Extroverted,0,16,Academic,3,3,Medium,1,5.333333333333333,"['Campus Facilities', 'Academic Reputation', 'Campus Facilities']","['Cultural Club', 'Professional Club', 'Professional Club']",Neutral
Under 18,Female,Domestic,NTU,4,Hands-on/Practical,Large,Sciences,1.0,Researcher,7,7,8,8,6,5,5,3,6,0,Scholarship,6.5,On campus,Extroverted,0,13,Professional,2,2,Low,1,4.333333333333333,"['Academic Reputation', 'Location', 'Career Services']","['Professional Club', 'Cultural Club']",Satisfied
Over 30,Female,International,NTU,4,Visual,Large,Arts,1.0,Data Scientist,6,7,7,7,8,6,7,5,7,1,Scholarship,6.5,On campus,Introverted,0,14,Professional,2,2,Low,1,6.0,"['Industry Connections', 'Industry Connections', 'Career Services']","['Social Club', 'Social Club']",Satisfied
18 - 24,Female,Domestic,NTU,3,Group-based,Large,Business,0.5,Data Scientist,6,6,7,7,7,6,7,5,7,1,Scholarship,6.5,On campus,Introverted,1,11,Professional,2,4,Medium,1,6.0,"['Faculty Quality', 'Academic Reputation', 'Academic Reputation']","['Sports Club', 'Sports Club']",Neutral
18 - 24,Female,International,NTU,4,Hands-on/Practical,Large,Engineering,0.0,Software Engineer,6,7,8,8,7,5,5,4,6,1,Scholarship,6.0,Off campus,Ambivert,0,14,Professional,2,2,Low,0,4.666666666666667,"['Industry Connections', 'Research Opportunities', 'Industry Connections']","['Sports Club', 'Cultural Club']",Satisfied
18 - 24,Male,International,NTU,3,Hands-on/Practical,Large,Engineering,0.5,Data Scientist,6,6,8,7,6,6,5,4,6,0,Scholarship,6.0,Commute,Ambivert,0,13,Professional,2,2,Low,1,5.0,"['Industry Connections', 'Location', 'Academic Reputation']","['Sports Club', 'Academic Society']",Neutral
Over 30,Non-binary,Domestic,NTU,4,Theoretical,Large,Sciences,0.5,Engineer,6,7,7,7,6,6,6,4,6,1,Self-funded,6.0,On campus,Introverted,0,13,Arts,1,1,Low,1,5.333333333333333,"['Location', 'Research Opportunities', 'Campus Facilities']",['Research Group'],Satisfied
18 - 24,Male,International,NTU,4,Auditory,Large,Business,1.0,Data Scientist,7,7,8,8,7,6,7,5,6,1,Family,6.5,On campus,Introverted,0,14,Professional,5,3,Medium,1,6.0,"['Campus Facilities', 'Campus Facilities', 'Industry Connections']","['Sports Club', 'Sports Club', 'Social Club', 'Professional Club', 'Cultural Club']",Satisfied
18 - 24,Female,International,NTU,4,Visual,Large,Engineering,1.0,Business Analyst,7,6,7,7,6,5,5,5,6,0,Loan,6.5,Commute,Introverted,1,15,Academic,2,4,Medium,0,5.0,"['Research Opportunities', 'International Exposure', 'Faculty Quality']","['Sports Club', 'Cultural Club']",Satisfied
18 - 24,Male,Domestic,NTU,4,Hands-on/Practical,Large,Sciences,1.0,Software Engineer,7,5,7,7,6,5,5,4,6,0,Family,6.5,Off campus,Extroverted,0,15,Professional,2,2,Low,1,4.666666666666667,"['Campus Facilities', 'Industry Connections', 'Research Opportunities']","['Sports Club', 'Academic Society']",Satisfied
18 - 24,Female,Domestic,NTU,4,Self-paced/Individual,Large,Business,1.0,Researcher,7,6,8,7,6,6,5,5,7,0,Loan,7.0,Off campus,Ambivert,0,11,Sports,2,2,Low,0,5.333333333333333,"['Industry Connections', 'Location', 'Campus Facilities']","['Academic Society', 'Research Group']",Satisfied
18 - 24,Male,Domestic,NTU,3,Hands-on/Practical,Large,Sciences,1.0,Software Engineer,6,6,8,7,7,5,6,4,6,0,Scholarship,6.0,On campus,Introverted,0,10,Sports,3,2,Low,1,5.0,"['Academic Reputation', 'Industry Connections', 'International Exposure']","['Social Club', 'Social Club', 'Academic Society']",Neutral
18 - 24,Male,International,NTU,4,Visual,Large,Sciences,1.0,Software Engineer,7,6,7,7,7,6,5,4,7,1,Family,7.0,Commute,Extroverted,0,14,Professional,3,2,Low,0,5.0,"['Career Services', 'Career Services', 'Industry Connections']","['Sports Club', 'Sports Club', 'Professional Club']",Satisfied
18 - 24,Male,Domestic,NTU,3,Self-paced/Individual,Large,Engineering,0.0,Product Manager,6,7,8,8,7,5,6,5,8,0,Scholarship,7.0,Off campus,Introverted,1,10,Community,1,3,Medium,1,5.333333333333333,"['Academic Reputation', 'Research Opportunities', 'Research Opportunities']",['Sports Club'],Neutral
18 - 24,Female,International,NTU,3,Hands-on/Practical,Large,Computing,1.0,Engineer,6,7,7,8,6,6,5,4,6,0,Scholarship,6.0,Off campus,Introverted,0,13,Academic,1,1,Low,1,5.0,"['Academic Reputation', 'Campus Facilities', 'Research Opportunities']",['Professional Club'],Neutral
18 - 24,Male,International,NTU,4,Self-paced/Individual,Large,Engineering,1.0,Software Engineer,6,6,7,8,7,6,6,5,7,0,Family,6.5,On campus,Extroverted,0,13,Sports,1,1,Low,1,5.666666666666667,"['Campus Facilities', 'Campus Facilities', 'International Exposure']",['Social Club'],Satisfied
18 - 24,Female,Domestic,NTU,3,Group-based,Large,Engineering,1.0,Engineer,6,6,8,7,7,5,6,4,6,0,Family,6.0,On campus,Extroverted,1,16,Community,3,5,Medium,0,5.0,"['Career Services', 'Industry Connections', 'Location']","['Sports Club', 'Academic Society', 'Sports Club']",Neutral
18 - 24,Male,International,NTU,3,Hands-on/Practical,Large,Business,0.0,Data Scientist,7,7,8,7,7,6,5,5,5,0,Loan,6.0,Commute,Extroverted,0,16,Academic,4,3,Medium,0,5.333333333333333,"['Industry Connections', 'Career Services', 'Academic Reputation']","['Academic Society', 'Academic Society', 'Cultural Club', 'Academic Society']",Neutral
18 - 24,Male,Domestic,NTU,3,Visual,Large,Business,1.0,Data Scientist,5,7,7,8,6,6,5,4,7,0,Family,6.0,On campus,Extroverted,0,16,Academic,2,2,Low,1,5.0,"['International Exposure', 'Academic Reputation', 'Industry Connections']","['Research Group', 'Academic Society']",Neutral
18 - 24,Female,Domestic,NTU,4,Hands-on/Practical,Large,Computing,0.5,Product Manager,6,6,8,8,6,6,7,4,6,0,Scholarship,6.0,On campus,Ambivert,0,14,Academic,4,3,Medium,0,5.666666666666667,"['Campus Facilities', 'Location', 'Career Services']","['Academic Society', 'Research Group', 'Professional Club', 'Research Group']",Satisfied
