age,gender,nationality,qualification,highSchoolGPA,university,selectionCriteria,consideredOthers,secondChoice,satisfaction,universityTags,learningStyle,populationPreference,campusSetting,costImportance,scholarship,living,major,careerGoal,internshipImportance,universityInternship,familyInfluence,friendInfluence,socialMediaInfluence,rankingInfluence
23,Other,Malaysian,A-Levels,3.48,SMU,"Reputation,Job Placement Rate,Campus Facilities",No,NUS,8,"Professional Network,Business Focus",Hands-On,Medium,Urban,1,No,On Campus,Business Management,Entrepreneur,8,Yes,10,7,4,5
19,Other,Malaysian,High School Diploma,3.59,SMU,"Ranking,Tuition Fees,Specific Course Offerings",Yes,NUS,6,"Interactive Learning,Professional Network",Research-Driven,Small,Urban,10,No,On Campus,Law,Industry Professional,8,Yes,8,4,4,5
22,Other,Other Asian,Polytechnic Diploma,3.90,SMU,"Reputation,Job Placement Rate,Faculty Quality",Yes,NTU,8,"Business Focus,Professional Network",Online/Hybrid,Large,Suburban,9,Yes,Commute,Business Management,Industry Professional,7,No,3,3,5,8
19,Other,Indian,High School Diploma,3.72,SMU,"Reputation,Scholarships,Location",Yes,NTU,7,"Interactive Learning,Professional Network",Lecture-Based,Large,Urban,1,Yes,On Campus,Accountancy,NGO/Non-profit,7,Yes,3,9,2,8
19,Female,Chinese,A-Levels,3.75,SMU,"Reputation,Specific Course Offerings,Faculty Quality",No,NUS,8,"Professional Network,Interactive Learning",Hands-On,Medium,Urban,1,No,Commute,Law,Entrepreneur,9,Yes,5,7,8,7
19,Other,Chinese,A-Levels,3.95,SMU,"Location,Ranking,Faculty Quality",Yes,NTU,6,"Business Focus,City Campus",Lecture-Based,Large,Suburban,2,Yes,Commute,Computing & Law,Government,7,Yes,5,6,6,7
22,Male,Singaporean,Polytechnic Diploma,3.77,SMU,"Ranking,Tuition Fees,Job Placement Rate",No,SUSS,7,"Interactive Learning,Professional Network",Hands-On,Small,Suburban,3,Yes,On Campus,Business Management,NGO/Non-profit,9,No,7,4,8,8
20,Other,Other Asian,Polytechnic Diploma,3.95,SMU,"Reputation,Campus Facilities,Faculty Quality",Yes,SUTD,6,"Business Focus,Interactive Learning",Research-Driven,Large,Urban,4,No,Commute,Computing & Law,NGO/Non-profit,7,Yes,10,1,9,9
21,Other,Singaporean,A-Levels,3.16,SMU,"Campus Facilities,Specific Course Offerings,Reputation",Yes,SUTD,7,"City Campus,Business Focus",Online/Hybrid,Medium,Urban,8,Yes,Commute,Law,Entrepreneur,8,No,5,3,1,8
22,Male,Malaysian,IB,3.32,SMU,"Reputation,Scholarships,Faculty Quality",Yes,SUTD,8,"City Campus,Business Focus",Research-Driven,Small,Suburban,3,No,Commute,Computing & Law,Researcher,7,No,2,10,1,8
21,Prefer not to say,Indian,A-Levels,3.58,SMU,"Tuition Fees,Scholarships,Faculty Quality",Yes,SUTD,6,"Business Focus,City Campus",Online/Hybrid,Medium,Suburban,8,No,On Campus,Information Systems,Entrepreneur,9,Yes,1,2,8,8
21,Male,Indian,Polytechnic Diploma,3.06,SMU,"Scholarships,Ranking,Location",Yes,SUTD,9,"Interactive Learning,Professional Network",Hands-On,Medium,Suburban,8,No,Commute,Accountancy,NGO/Non-profit,9,No,10,10,8,8
21,Male,Indian,A-Levels,3.12,SMU,"Reputation,Scholarships,Tuition Fees",No,NTU,9,"Business Focus,Professional Network",Research-Driven,Medium,Urban,7,No,On Campus,Information Systems,NGO/Non-profit,8,No,4,7,10,8
20,Female,Singaporean,High School Diploma,3.14,SMU,"Ranking,Location,Tuition Fees",No,NTU,8,"Business Focus,Professional Network",Lecture-Based,Small,Urban,3,No,On Campus,Accountancy,Government,8,Yes,1,5,3,7
24,Other,Malaysian,Polytechnic Diploma,3.64,SMU,"Location,Scholarships,Tuition Fees",Yes,SUSS,9,"Professional Network,Interactive Learning",Research-Driven,Medium,Urban,6,No,On Campus,Accountancy,Government,9,No,2,3,4,7
19,Male,Vietnamese,A-Levels,3.35,SMU,"Ranking,Faculty Quality,Tuition Fees",Yes,SUTD,6,"Business Focus,Interactive Learning",Lecture-Based,Large,Suburban,10,No,Commute,Law,Entrepreneur,7,Yes,8,1,6,7
22,Prefer not to say,Vietnamese,Polytechnic Diploma,3.19,SMU,"Reputation,Scholarships,Tuition Fees",Yes,SUTD,9,"Business Focus,Interactive Learning",Online/Hybrid,Small,Urban,5,No,On Campus,Business Management,NGO/Non-profit,8,Yes,2,4,6,8
22,Female,Vietnamese,IB,3.33,SMU,"Job Placement Rate,Location,Campus Facilities",Yes,NUS,9,"Business Focus,Interactive Learning",Online/Hybrid,Medium,Suburban,3,No,Commute,Computing & Law,Industry Professional,8,No,5,4,6,6
22,Other,Singaporean,Polytechnic Diploma,3.61,SMU,"Reputation,Specific Course Offerings,Tuition Fees",Yes,SUTD,6,"Business Focus,Professional Network",Online/Hybrid,Small,Urban,7,No,Commute,Economics,Industry Professional,7,No,8,8,4,8
20,Female,Other Asian,Polytechnic Diploma,3.92,SMU,"Ranking,Tuition Fees,Campus Facilities",Yes,SUSS,7,"Interactive Learning,City Campus",Research-Driven,Medium,Suburban,9,No,On Campus,Business Management,Government,7,Yes,3,2,3,6
24,Prefer not to say,Chinese,IB,3.15,SMU,"Job Placement Rate,Scholarships,Campus Facilities",Yes,NUS,8,"Business Focus,Interactive Learning",Online/Hybrid,Small,Urban,7,Yes,Commute,Economics,Government,9,No,9,6,2,8
20,Prefer not to say,Indonesian,IB,3.58,SMU,"Ranking,Location,Job Placement Rate",Yes,SUSS,8,"Professional Network,City Campus",Online/Hybrid,Small,Suburban,5,Yes,On Campus,Information Systems,NGO/Non-profit,7,Yes,3,2,7,6
21,Prefer not to say,Vietnamese,IB,3.49,SMU,"Reputation,Tuition Fees,Campus Facilities",Yes,SUTD,6,"Professional Network,City Campus",Research-Driven,Medium,Suburban,7,Yes,On Campus,Information Systems,Government,7,No,9,5,2,5
24,Female,Chinese,A-Levels,3.87,SMU,"Job Placement Rate,Ranking,Campus Facilities",No,NUS,7,"Interactive Learning,Professional Network",Online/Hybrid,Large,Urban,10,No,Commute,Computing & Law,Entrepreneur,9,Yes,7,3,7,8
19,Prefer not to say,Chinese,Polytechnic Diploma,3.99,SMU,"Campus Facilities,Ranking,Job Placement Rate",Yes,NTU,7,"Business Focus,City Campus",Research-Driven,Medium,Urban,7,No,On Campus,Information Systems,Industry Professional,7,Yes,8,7,4,6
21,Male,Malaysian,IB,3.02,SMU,"Specific Course Offerings,Job Placement Rate,Faculty Quality",Yes,SUTD,8,"Professional Network,City Campus",Online/Hybrid,Large,Urban,5,Yes,Commute,Law,Industry Professional,8,Yes,5,1,1,8
20,Other,Malaysian,IB,3.75,SMU,"Job Placement Rate,Location,Ranking",Yes,NUS,6,"Interactive Learning,City Campus",Lecture-Based,Large,Urban,9,Yes,Commute,Accountancy,Entrepreneur,7,Yes,3,4,9,8
24,Female,Indonesian,Polytechnic Diploma,3.11,SMU,"Reputation,Tuition Fees,Specific Course Offerings",Yes,NTU,8,"Business Focus,City Campus",Lecture-Based,Large,Urban,6,Yes,On Campus,Law,Researcher,7,No,9,6,1,9
20,Female,Indonesian,IB,3.19,SMU,"Specific Course Offerings,Job Placement Rate,Scholarships",Yes,SUSS,7,"Professional Network,City Campus",Online/Hybrid,Small,Suburban,10,No,Commute,Business Management,Industry Professional,8,No,7,10,2,9
20,Male,Vietnamese,High School Diploma,3.49,SMU,"Reputation,Location,Specific Course Offerings",Yes,NTU,8,"Business Focus,Interactive Learning",Hands-On,Large,Urban,10,No,On Campus,Economics,NGO/Non-profit,9,Yes,3,8,4,9
21,Prefer not to say,Indian,High School Diploma,3.93,SMU,"Reputation,Scholarships,Location",Yes,SUTD,9,"Business Focus,Interactive Learning",Research-Driven,Large,Suburban,8,No,Commute,Business Management,Researcher,8,No,3,1,6,9
20,Other,Indian,A-Levels,3.26,SMU,"Job Placement Rate,Tuition Fees,Faculty Quality",Yes,NTU,7,"Professional Network,City Campus",Hands-On,Medium,Suburban,3,No,On Campus,Computing & Law,Government,8,Yes,7,5,10,6
21,Male,Indian,A-Levels,3.74,SMU,"Tuition Fees,Specific Course Offerings,Ranking",Yes,SUTD,6,"Business Focus,Professional Network",Lecture-Based,Large,Suburban,5,No,On Campus,Computing & Law,Government,9,Yes,4,5,9,5
22,Female,Singaporean,IB,3.67,SMU,"Tuition Fees,Campus Facilities,Reputation",Yes,SUTD,9,"Business Focus,Professional Network",Research-Driven,Large,Urban,4,No,On Campus,Information Systems,NGO/Non-profit,8,Yes,9,2,5,9
23,Female,Vietnamese,Polytechnic Diploma,3.75,SMU,"Ranking,Tuition Fees,Faculty Quality",Yes,SUSS,9,"City Campus,Interactive Learning",Lecture-Based,Medium,Urban,10,Yes,On Campus,Information Systems,Entrepreneur,7,Yes,9,3,6,9
23,Prefer not to say,Indonesian,IB,3.20,SMU,"Campus Facilities,Reputation,Scholarships",Yes,SUTD,7,"Business Focus,Professional Network",Online/Hybrid,Large,Urban,3,Yes,On Campus,Information Systems,NGO/Non-profit,7,Yes,5,7,9,7
19,Female,Other Asian,IB,3.34,SMU,"Campus Facilities,Reputation,Scholarships",Yes,SUSS,7,"City Campus,Interactive Learning",Lecture-Based,Large,Suburban,9,Yes,On Campus,Accountancy,Industry Professional,8,No,6,2,6,9
20,Prefer not to say,Vietnamese,A-Levels,3.18,SMU,"Tuition Fees,Reputation,Campus Facilities",No,NTU,6,"Professional Network,Business Focus",Hands-On,Medium,Urban,10,No,Commute,Accountancy,Entrepreneur,7,No,2,1,6,5
23,Male,Vietnamese,Polytechnic Diploma,3.82,SMU,"Specific Course Offerings,Campus Facilities,Faculty Quality",Yes,SUTD,8,"Interactive Learning,Business Focus",Hands-On,Small,Suburban,10,No,On Campus,Law,Researcher,7,Yes,6,4,3,6
20,Female,Indonesian,Polytechnic Diploma,3.23,SMU,"Ranking,Scholarships,Tuition Fees",Yes,NUS,6,"Interactive Learning,Business Focus",Research-Driven,Medium,Suburban,2,No,On Campus,Business Management,Industry Professional,8,No,4,5,8,8
21,Other,Malaysian,IB,3.64,SUTD,"Campus Facilities,Reputation,Scholarships",Yes,SMU,8,"Industry Collaboration,Design Innovation",Online/Hybrid,Large,Suburban,8,No,On Campus,Engineering Systems & Design,NGO/Non-profit,7,No,6,2,4,9
23,Female,Other Asian,IB,3.53,SUTD,"Reputation,Ranking,Faculty Quality",Yes,NTU,8,"Design Innovation,Industry Collaboration",Lecture-Based,Large,Suburban,1,Yes,On Campus,Architecture & Sustainable Design,Industry Professional,7,Yes,3,3,5,5
21,Other,Malaysian,IB,3.76,SUTD,"Specific Course Offerings,Reputation,Campus Facilities",No,NTU,9,"Technology Focus,Small Class Size",Lecture-Based,Medium,Urban,9,No,Commute,Architecture & Sustainable Design,Researcher,8,No,9,4,2,6
24,Prefer not to say,Malaysian,High School Diploma,3.27,SUTD,"Location,Job Placement Rate,Ranking",Yes,SUSS,6,"Design Innovation,Small Class Size",Online/Hybrid,Large,Suburban,3,No,On Campus,Architecture & Sustainable Design,NGO/Non-profit,9,No,4,1,5,5
22,Other,Chinese,A-Levels,3.66,SUTD,"Scholarships,Ranking,Location",Yes,NTU,9,"Design Innovation,Small Class Size",Online/Hybrid,Small,Urban,10,No,On Campus,Engineering Systems & Design,Government,9,Yes,1,2,7,7
21,Male,Other Asian,Polytechnic Diploma,3.50,SUTD,"Ranking,Job Placement Rate,Tuition Fees",No,SUSS,9,"Industry Collaboration,Technology Focus",Hands-On,Small,Suburban,5,Yes,Commute,Information Systems Technology & Design,Entrepreneur,8,Yes,6,4,10,6
24,Prefer not to say,Malaysian,IB,3.21,SUTD,"Scholarships,Tuition Fees,Location",Yes,SMU,9,"Technology Focus,Design Innovation",Hands-On,Medium,Suburban,10,No,Commute,Engineering Systems & Design,Industry Professional,8,No,8,1,8,5
19,Other,Singaporean,A-Levels,3.70,SUTD,"Ranking,Campus Facilities,Job Placement Rate",Yes,NTU,6,"Small Class Size,Industry Collaboration",Research-Driven,Small,Urban,10,Yes,On Campus,Architecture & Sustainable Design,NGO/Non-profit,8,Yes,7,9,1,9
22,Prefer not to say,Other Asian,Polytechnic Diploma,3.89,SUTD,"Ranking,Tuition Fees,Location",Yes,SUSS,6,"Small Class Size,Technology Focus",Research-Driven,Large,Urban,4,No,Commute,Information Systems Technology & Design,Entrepreneur,9,Yes,1,8,8,8
19,Prefer not to say,Malaysian,High School Diploma,3.38,SUTD,"Specific Course Offerings,Tuition Fees,Faculty Quality",Yes,NTU,7,"Design Innovation,Industry Collaboration",Online/Hybrid,Large,Urban,4,No,On Campus,Information Systems Technology & Design,NGO/Non-profit,9,Yes,9,9,2,9
19,Other,Vietnamese,A-Levels,3.75,SUTD,"Job Placement Rate,Tuition Fees,Location",Yes,SMU,8,"Design Innovation,Industry Collaboration",Hands-On,Large,Suburban,6,No,Commute,Engineering Systems & Design,NGO/Non-profit,7,Yes,2,4,10,9
20,Other,Indonesian,Polytechnic Diploma,3.63,SUTD,"Job Placement Rate,Scholarships,Specific Course Offerings",Yes,SUSS,8,"Design Innovation,Industry Collaboration",Lecture-Based,Large,Suburban,6,No,Commute,Architecture & Sustainable Design,Researcher,8,Yes,3,5,1,7
20,Female,Singaporean,High School Diploma,3.07,SUTD,"Tuition Fees,Scholarships,Faculty Quality",Yes,SMU,9,"Small Class Size,Design Innovation",Research-Driven,Large,Suburban,8,Yes,Commute,Architecture & Sustainable Design,NGO/Non-profit,8,No,4,1,3,7
21,Other,Singaporean,High School Diploma,3.03,SUTD,"Ranking,Specific Course Offerings,Tuition Fees",Yes,SMU,6,"Small Class Size,Technology Focus",Lecture-Based,Medium,Urban,9,No,On Campus,Engineering Systems & Design,Researcher,9,Yes,10,2,7,6
24,Other,Indonesian,Polytechnic Diploma,3.34,SUTD,"Reputation,Job Placement Rate,Ranking",Yes,SMU,6,"Technology Focus,Small Class Size",Research-Driven,Large,Urban,9,Yes,Commute,Information Systems Technology & Design,Researcher,9,No,7,5,5,6
20,Other,Vietnamese,High School Diploma,3.43,SUTD,"Ranking,Specific Course Offerings,Job Placement Rate",Yes,SUSS,6,"Design Innovation,Small Class Size",Lecture-Based,Medium,Suburban,3,Yes,Commute,Architecture & Sustainable Design,Industry Professional,8,No,6,9,8,6
22,Female,Chinese,IB,3.03,SUTD,"Faculty Quality,Location,Campus Facilities",Yes,NTU,6,"Design Innovation,Small Class Size",Lecture-Based,Large,Urban,2,Yes,Commute,Information Systems Technology & Design,Entrepreneur,9,Yes,7,5,5,7
23,Male,Singaporean,IB,3.44,SUTD,"Specific Course Offerings,Job Placement Rate,Scholarships",Yes,SUSS,8,"Industry Collaboration,Small Class Size",Hands-On,Medium,Urban,7,Yes,Commute,Information Systems Technology & Design,Industry Professional,8,No,4,1,5,7
21,Prefer not to say,Indian,A-Levels,4.00,SUTD,"Specific Course Offerings,Campus Facilities,Reputation",Yes,SMU,8,"Industry Collaboration,Technology Focus",Lecture-Based,Medium,Urban,9,Yes,On Campus,Engineering Systems & Design,NGO/Non-profit,8,Yes,3,10,3,9
20,Male,Indian,A-Levels,3.23,SUTD,"Job Placement Rate,Faculty Quality,Ranking",Yes,NTU,9,"Design Innovation,Industry Collaboration",Lecture-Based,Small,Urban,8,No,Commute,Information Systems Technology & Design,Government,9,No,9,7,9,9
20,Other,Indian,A-Levels,3.28,SUTD,"Ranking,Faculty Quality,Tuition Fees",Yes,NTU,6,"Design Innovation,Industry Collaboration",Research-Driven,Medium,Urban,3,Yes,On Campus,Information Systems Technology & Design,NGO/Non-profit,9,No,6,1,9,7
23,Other,Indian,High School Diploma,3.37,SUTD,"Scholarships,Tuition Fees,Location",Yes,NTU,7,"Design Innovation,Small Class Size",Online/Hybrid,Small,Urban,4,No,Commute,Architecture & Sustainable Design,Industry Professional,7,Yes,7,5,10,9
24,Female,Singaporean,High School Diploma,3.61,SUTD,"Reputation,Tuition Fees,Ranking",Yes,NTU,6,"Design Innovation,Small Class Size",Research-Driven,Large,Urban,1,No,On Campus,Engineering Systems & Design,Entrepreneur,7,No,1,2,6,5
19,Male,Vietnamese,A-Levels,3.54,SUTD,"Reputation,Scholarships,Tuition Fees",Yes,SMU,8,"Technology Focus,Industry Collaboration",Online/Hybrid,Large,Urban,7,Yes,On Campus,Information Systems Technology & Design,Researcher,8,Yes,6,2,10,9
22,Male,Malaysian,High School Diploma,3.08,SUTD,"Specific Course Offerings,Ranking,Reputation",Yes,NUS,8,"Design Innovation,Small Class Size",Lecture-Based,Medium,Urban,3,Yes,Commute,Engineering Systems & Design,Industry Professional,7,No,9,2,6,9
22,Other,Chinese,High School Diploma,3.29,SUTD,"Faculty Quality,Ranking,Job Placement Rate",Yes,SMU,6,"Industry Collaboration,Design Innovation",Online/Hybrid,Medium,Suburban,6,No,On Campus,Architecture & Sustainable Design,Researcher,9,Yes,4,9,8,5
20,Prefer not to say,Vietnamese,IB,3.71,SUTD,"Campus Facilities,Specific Course Offerings,Reputation",Yes,NTU,6,"Small Class Size,Technology Focus",Hands-On,Small,Suburban,4,Yes,On Campus,Engineering Systems & Design,Government,7,No,7,1,9,7
20,Female,Indian,Polytechnic Diploma,3.68,SUTD,"Job Placement Rate,Specific Course Offerings,Ranking",Yes,SMU,8,"Industry Collaboration,Small Class Size",Research-Driven,Large,Urban,10,Yes,Commute,Information Systems Technology & Design,Researcher,7,Yes,9,10,7,8
20,Other,Indian,Polytechnic Diploma,3.20,SUTD,"Reputation,Specific Course Offerings,Scholarships",Yes,NUS,8,"Design Innovation,Technology Focus",Online/Hybrid,Medium,Urban,10,No,Commute,Architecture & Sustainable Design,Government,7,No,8,5,5,6
22,Prefer not to say,Other Asian,Polytechnic Diploma,3.65,SUTD,"Reputation,Scholarships,Tuition Fees",Yes,NUS,9,"Design Innovation,Technology Focus",Lecture-Based,Large,Suburban,8,No,Commute,Architecture & Sustainable Design,Researcher,7,Yes,5,4,6,6
20,Female,Chinese,Polytechnic Diploma,3.32,SUTD,"Reputation,Scholarships,Campus Facilities",Yes,SMU,7,"Small Class Size,Industry Collaboration",Online/Hybrid,Medium,Urban,4,Yes,Commute,Architecture & Sustainable Design,Researcher,7,No,1,4,1,5
24,Male,Vietnamese,IB,3.10,SUTD,"Campus Facilities,Reputation,Scholarships",Yes,SUSS,6,"Small Class Size,Industry Collaboration",Lecture-Based,Medium,Urban,8,No,Commute,Information Systems Technology & Design,Government,7,No,10,5,8,5
23,Female,Other Asian,IB,3.04,SUTD,"Faculty Quality,Reputation,Scholarships",Yes,NUS,8,"Design Innovation,Industry Collaboration",Lecture-Based,Large,Urban,5,No,On Campus,Architecture & Sustainable Design,Industry Professional,8,No,4,1,9,5
24,Female,Chinese,A-Levels,3.11,SUTD,"Ranking,Job Placement Rate,Campus Facilities",Yes,NTU,6,"Technology Focus,Small Class Size",Online/Hybrid,Medium,Suburban,4,Yes,Commute,Architecture & Sustainable Design,Entrepreneur,8,Yes,6,2,1,8
20,Male,Malaysian,A-Levels,3.02,SUTD,"Job Placement Rate,Scholarships,Specific Course Offerings",Yes,NUS,7,"Small Class Size,Technology Focus",Lecture-Based,Large,Urban,9,No,Commute,Engineering Systems & Design,NGO/Non-profit,8,Yes,1,3,8,8
21,Other,Singaporean,A-Levels,3.53,SUTD,"Ranking,Specific Course Offerings,Tuition Fees",Yes,SUSS,9,"Small Class Size,Design Innovation",Online/Hybrid,Small,Suburban,3,No,Commute,Engineering Systems & Design,Industry Professional,8,No,6,7,10,6
22,Male,Indian,IB,3.54,SUTD,"Faculty Quality,Location,Campus Facilities",Yes,NUS,9,"Small Class Size,Technology Focus",Lecture-Based,Medium,Suburban,10,No,Commute,Architecture & Sustainable Design,Researcher,8,No,8,8,10,8
24,Prefer not to say,Indonesian,High School Diploma,3.64,SUTD,"Ranking,Job Placement Rate,Scholarships",Yes,NUS,7,"Industry Collaboration,Small Class Size",Research-Driven,Medium,Suburban,6,Yes,On Campus,Information Systems Technology & Design,Entrepreneur,7,No,10,10,5,7
24,Female,Singaporean,Polytechnic Diploma,3.04,SUTD,"Location,Campus Facilities,Faculty Quality",Yes,SMU,9,"Industry Collaboration,Technology Focus",Lecture-Based,Small,Urban,2,Yes,On Campus,Architecture & Sustainable Design,Government,7,Yes,4,1,2,6
19,Male,Malaysian,High School Diploma,3.73,SUTD,"Job Placement Rate,Campus Facilities,Reputation",Yes,SUSS,6,"Design Innovation,Small Class Size",Lecture-Based,Large,Urban,9,Yes,On Campus,Information Systems Technology & Design,Government,7,No,8,6,10,9
21,Other,Chinese,IB,3.68,SUTD,"Campus Facilities,Location,Faculty Quality",No,NUS,6,"Technology Focus,Industry Collaboration",Hands-On,Small,Urban,6,No,Commute,Architecture & Sustainable Design,Entrepreneur,7,Yes,10,2,6,6
19,Other,Singaporean,Polytechnic Diploma,3.25,SUTD,"Scholarships,Location,Tuition Fees",Yes,SMU,6,"Design Innovation,Industry Collaboration",Lecture-Based,Small,Urban,4,No,Commute,Information Systems Technology & Design,Researcher,9,Yes,2,10,7,5
23,Male,Singaporean,IB,3.84,SUTD,"Tuition Fees,Faculty Quality,Ranking",Yes,NUS,8,"Design Innovation,Technology Focus",Hands-On,Small,Suburban,8,No,Commute,Architecture & Sustainable Design,Entrepreneur,7,Yes,8,4,6,7
20,Female,Vietnamese,IB,3.40,SUTD,"Job Placement Rate,Tuition Fees,Reputation",Yes,SMU,8,"Industry Collaboration,Design Innovation",Lecture-Based,Medium,Suburban,6,No,On Campus,Architecture & Sustainable Design,Researcher,8,No,7,9,4,5
24,Prefer not to say,Indonesian,A-Levels,3.05,SUTD,"Job Placement Rate,Ranking,Tuition Fees",Yes,SMU,6,"Industry Collaboration,Design Innovation",Hands-On,Large,Urban,10,No,On Campus,Information Systems Technology & Design,Researcher,7,No,7,9,8,7
19,Female,Singaporean,High School Diploma,3.21,SUTD,"Job Placement Rate,Reputation,Tuition Fees",Yes,NUS,9,"Industry Collaboration,Small Class Size",Hands-On,Small,Urban,9,No,On Campus,Engineering Systems & Design,Government,9,Yes,2,5,8,6
23,Other,Malaysian,High School Diploma,3.69,SUTD,"Reputation,Location,Scholarships",Yes,SUSS,9,"Industry Collaboration,Design Innovation",Online/Hybrid,Small,Suburban,1,No,Commute,Information Systems Technology & Design,Government,7,No,10,4,1,7
24,Female,Singaporean,IB,3.43,SUTD,"Ranking,Tuition Fees,Scholarships",Yes,SUSS,7,"Small Class Size,Design Innovation",Online/Hybrid,Medium,Urban,2,Yes,Commute,Architecture & Sustainable Design,Government,9,No,3,3,7,6
20,Prefer not to say,Vietnamese,IB,3.72,SUTD,"Job Placement Rate,Specific Course Offerings,Faculty Quality",Yes,SUSS,6,"Industry Collaboration,Technology Focus",Hands-On,Medium,Urban,5,Yes,On Campus,Architecture & Sustainable Design,Industry Professional,9,No,6,5,2,6
19,Prefer not to say,Indonesian,High School Diploma,3.15,SUTD,"Faculty Quality,Location,Campus Facilities",Yes,NUS,7,"Design Innovation,Small Class Size",Lecture-Based,Small,Suburban,7,No,Commute,Engineering Systems & Design,Entrepreneur,7,Yes,6,7,6,5
24,Prefer not to say,Chinese,IB,3.07,SUSS,"Scholarships,Reputation,Tuition Fees",No,NTU,6,"Work-Study Integration,Flexible Learning",Lecture-Based,Medium,Suburban,3,No,On Campus,Business Analytics,Government,9,Yes,10,6,1,8
24,Female,Indian,A-Levels,3.58,SUSS,"Specific Course Offerings,Ranking,Tuition Fees",Yes,SMU,8,"Work-Study Integration,Flexible Learning",Online/Hybrid,Large,Suburban,1,No,Commute,Supply Chain Management,Entrepreneur,8,Yes,10,1,6,8
23,Other,Other Asian,Polytechnic Diploma,3.56,SUSS,"Job Placement Rate,Scholarships,Specific Course Offerings",Yes,SMU,7,"Lifelong Learning,Flexible Learning",Lecture-Based,Large,Urban,3,No,Commute,Business Analytics,Researcher,9,Yes,10,2,7,9
24,Female,Vietnamese,IB,3.08,SUSS,"Faculty Quality,Location,Specific Course Offerings",Yes,SUTD,9,"Practice-Oriented,Lifelong Learning",Lecture-Based,Small,Urban,9,Yes,Commute,Social Work,Industry Professional,8,Yes,3,6,10,5
20,Male,Chinese,A-Levels,3.27,SUSS,"Specific Course Offerings,Reputation,Scholarships",No,SUTD,8,"Work-Study Integration,Flexible Learning",Online/Hybrid,Small,Suburban,3,No,On Campus,Supply Chain Management,Researcher,8,Yes,1,6,9,8
22,Male,Other Asian,A-Levels,3.82,SUSS,"Campus Facilities,Reputation,Faculty Quality",Yes,NUS,7,"Practice-Oriented,Work-Study Integration",Online/Hybrid,Small,Urban,7,No,On Campus,Early Childhood Education,NGO/Non-profit,7,Yes,9,8,3,5
24,Female,Malaysian,Polytechnic Diploma,3.18,SUSS,"Reputation,Specific Course Offerings,Scholarships",Yes,SMU,7,"Flexible Learning,Work-Study Integration",Lecture-Based,Medium,Suburban,9,Yes,On Campus,Supply Chain Management,Entrepreneur,9,Yes,1,5,6,9
21,Other,Vietnamese,High School Diploma,3.95,SUSS,"Campus Facilities,Ranking,Location",Yes,NTU,8,"Lifelong Learning,Practice-Oriented",Online/Hybrid,Large,Urban,7,No,Commute,Social Work,Entrepreneur,9,Yes,10,9,1,7
21,Prefer not to say,Indian,IB,3.04,SUSS,"Campus Facilities,Specific Course Offerings,Faculty Quality",Yes,NTU,8,"Lifelong Learning,Practice-Oriented",Online/Hybrid,Small,Urban,2,No,On Campus,Early Childhood Education,Entrepreneur,7,No,3,3,3,5
19,Male,Indian,Polytechnic Diploma,3.23,SUSS,"Reputation,Scholarships,Job Placement Rate",Yes,NUS,9,"Work-Study Integration,Lifelong Learning",Online/Hybrid,Large,Suburban,5,No,On Campus,Early Childhood Education,Government,9,No,10,9,8,8
23,Prefer not to say,Malaysian,Polytechnic Diploma,3.61,SUSS,"Tuition Fees,Scholarships,Location",No,SMU,8,"Work-Study Integration,Lifelong Learning",Lecture-Based,Small,Suburban,3,No,Commute,Early Childhood Education,NGO/Non-profit,8,Yes,10,4,7,8
21,Prefer not to say,Chinese,A-Levels,3.60,SUSS,"Location,Ranking,Job Placement Rate",Yes,SUTD,7,"Practice-Oriented,Flexible Learning",Online/Hybrid,Small,Urban,3,No,Commute,Social Work,Entrepreneur,7,Yes,9,8,3,5
19,Other,Malaysian,IB,3.32,SUSS,"Job Placement Rate,Scholarships,Tuition Fees",No,SUTD,9,"Work-Study Integration,Lifelong Learning",Research-Driven,Small,Suburban,8,Yes,Commute,Social Work,Entrepreneur,8,No,9,10,6,6
19,Other,Singaporean,IB,3.15,SUSS,"Tuition Fees,Ranking,Specific Course Offerings",Yes,NTU,7,"Practice-Oriented,Work-Study Integration",Lecture-Based,Small,Suburban,6,Yes,Commute,Supply Chain Management,Entrepreneur,8,Yes,3,7,1,6
19,Other,Indian,High School Diploma,3.74,SUSS,"Tuition Fees,Scholarships,Job Placement Rate",Yes,SUTD,7,"Flexible Learning,Practice-Oriented",Hands-On,Large,Suburban,8,Yes,Commute,Supply Chain Management,Researcher,9,No,7,10,1,9
23,Male,Singaporean,High School Diploma,3.55,SUSS,"Tuition Fees,Ranking,Faculty Quality",Yes,NTU,9,"Lifelong Learning,Work-Study Integration",Lecture-Based,Small,Suburban,10,Yes,Commute,Early Childhood Education,NGO/Non-profit,9,Yes,10,6,4,6
23,Male,Singaporean,A-Levels,3.90,SUSS,"Ranking,Tuition Fees,Scholarships",Yes,SUTD,7,"Flexible Learning,Lifelong Learning",Hands-On,Medium,Suburban,3,No,Commute,Business Analytics,Government,7,Yes,6,8,2,8
23,Other,Indonesian,A-Levels,3.91,SUSS,"Job Placement Rate,Location,Tuition Fees",Yes,SUTD,8,"Flexible Learning,Lifelong Learning",Research-Driven,Large,Urban,7,No,Commute,Early Childhood Education,Entrepreneur,9,No,1,5,8,7
